,NAME,ZCTA,ZIP_TYPE,zip_join_type,PO_NAME,STATE,S1903_C03_015E,S1903_C03_034E
7724,ZCTA5 20010,20010,Zip Code Area,Zip matches ZCTA,Washington,DC,135673,82653
7725,ZCTA5 20010,20010,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,135673,82653
7726,ZCTA5 20011,20011,Zip Code Area,Zip matches ZCTA,Washington,DC,99688,58580
7727,ZCTA5 20011,20011,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,99688,58580
7728,ZCTA5 20011,20011,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,99688,58580
7729,ZCTA5 20011,20011,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,99688,58580
7730,ZCTA5 20012,20012,Zip Code Area,Zip matches ZCTA,Washington,DC,140801,61735
7731,ZCTA5 20012,20012,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,140801,61735
7732,ZCTA5 20015,20015,Zip Code Area,Zip matches ZCTA,Washington,DC,250000,75602
7733,ZCTA5 20015,20015,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,250000,75602
7734,ZCTA5 20015,20015,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,250000,75602
7735,ZCTA5 20016,20016,Zip Code Area,Zip matches ZCTA,Washington,DC,250000,95590
7736,ZCTA5 20016,20016,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,250000,95590
7737,ZCTA5 20016,20016,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,250000,95590
7738,ZCTA5 20017,20017,Zip Code Area,Zip matches ZCTA,Washington,DC,119048,66047
7739,ZCTA5 20018,20018,Zip Code Area,Zip matches ZCTA,Washington,DC,113657,38990
7740,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7741,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7742,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7743,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7744,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7745,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7746,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7747,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7748,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7749,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7750,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7751,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7752,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7753,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7754,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7755,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
7756,ZCTA5 20018,20018,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,113657,38990
